sku,vendor,title,super_category,primary_category,product_category_type,collection_name,material,colour_finish,width_mm,depth_mm,height_mm,installation_type,warranty_years,weight_kg,confidence
PTR-BN,Abey,Gareth Ashton Poco Towel Ring - Brushed Nickel - PTR-BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.83
CEA02-B,Abey,Gareth Ashton Premium Robe Hook - Black - CEA02-B,Accessories,Bathroom Accessories,,,,,,,,,,,0.578
CEA02-BN,Abey,Gareth Ashton Premium Robe Hook - Brushed Nickel - CEA02-BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.797
PRH-BB,Abey,Gareth Ashton Robe Hook - Brushed Brass - PRH-BB,Accessories,Bathroom Accessories,,,,,,,,,,,0.739
PRH-BN,Abey,Gareth Ashton Robe Hook - Brushed Nickel - PRH-BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.773
PRH,Abey,Gareth Ashton Robe Hook - Chrome - PRH,Accessories,Bathroom Accessories,,,,,,,,,,,0.559
PRH-GM,Abey,Gareth Ashton Robe Hook - Gun Metal - PRH-GM,Accessories,Bathroom Accessories,,,,,,,,,,,0.538
PRH-B,Abey,Gareth Ashton Robe Hook- Black - PRH-B,Accessories,Bathroom Accessories,,,,,,,,,,,0.509
GF2111,Aquaknect,600mm F&F Gas Braided Hose - GF2111,Accessories,Bathroom Accessories,,,,,,,,,,,0.401
GF2112,Aquaknect,900mm F&F Gas Braided Hose - GF2112,Accessories,Bathroom Accessories,,,,,,,,,,,0.8
92241585,Argent,Argent 150S ViConnect Mechanical Flush Plate - Brushed Gold - 92241585,Accessories,Bathroom Accessories,Flush Plate,Grace Round,brass,Brushed Gold,150,,,,1,0.5,0.6749999999999999
92241580,Argent,Argent 150S ViConnect Mechanical Flush Plate - Brushed Nickel - 92241580,Accessories,Bathroom Accessories,Flush Plate,Grace Round,stainless steel,Brushed Nickel,150,,,,1,0.5,0.6749999999999999
92241561,Argent,Argent 150S ViConnect Mechanical Flush Plate - Chrome - 92241561,Accessories,Bathroom Accessories,Flush Plate,ViConnect,chrome,Chrome,150,,,,,,0.6285714285714284
92241590,Argent,Argent 150S ViConnect Mechanical Flush Plate - Gun Metal - 92241590,Accessories,Bathroom Accessories,Flush Plate,Argent 150S ViConnect,metal,Gun Metal,150,,,,1,,0.6142857142857142
92241595,Argent,Argent 150S ViConnect Mechanical Flush Plate - Matte Black - 92241595,Accessories,Bathroom Accessories,Flush Plate,ViConnect,matte black,matte black,150,,,wall mounted,,,0.6249999999999999
922415RW,Argent,Argent 150S ViConnect Mechanical Flush Plate - Matte White - 922415RW,Accessories,Bathroom Accessories,Flush Plate,ViConnect,ceramic,Matte White,150,,,,2,0.5,0.6749999999999999
92241568,Argent,Argent 150S ViConnect Mechanical Flush Plate - White - 92241568,Accessories,Bathroom Accessories,Flush Plate,ViConnect,plastic,White,150,,150,wall mounted,2,0.53,0.65
427087LH,Argent,Argent Advantage 870 X 700 140 Degree Grab Rail Left Hand - 427087LH,Accessories,Bathroom Accessories,Wall Mounted,Advantage,stainless steel,,870,700,,,,,0.6666666666666666
HA10485,Argent,Argent BTW Flush Button - Brushed Gold HA10485,Accessories,Bathroom Accessories,,,,,,,,,,,0.449
HA10480,Argent,Argent BTW Flush Button - Brushed Nickel HA10480,Accessories,Bathroom Accessories,,,,,,,,,,,0.454
IN38780,Argent,Argent Edge In-Wall Flush Plate - Chrome - IN38780,Accessories,Bathroom Accessories,In-Wall,Argent Edge,chrome,Chrome,100,,200,,15,,0.65
AR25004,Argent,Argent Evoke 450 Multi Function Rail - Chrome - AR25004,Accessories,Bathroom Accessories,Wall Mounted,Evoke,chrome,Chrome,450,,,,,,0.6333333333333333
AR25005,Argent,Argent Evoke 600 Multi Function Rail - Chrome - AR25005,Accessories,Bathroom Accessories,Wall Mounted,Evoke,chrome,Chrome,600,,,,,,0.6333333333333333
AR2500-15,Argent,Argent Evoke Soap Dish - Chrome - AR2500-15,Accessories,Bathroom Accessories,Wall Mounted,Evoke,stainless steel,Chrome,150,90,50,,,,0.6875
AR32041,Argent,Argent Evoke Toilet Roll Holder with Glass Shelf - Chrome - AR32041,Accessories,Bathroom Accessories,Wall Mounted,Evoke,chrome,Chrome,188,127,140,Wall Mounted,10,1.45,0.6545454545454545
AR20805,Argent,Argent FOCUS 300 Hand Towel Rail - Chrome - AR20805,Accessories,Bathroom Accessories,Wall Mounted,Focus,stainless steel,Chrome,300,60,60,Wall Mounted,5,1.3,0.6818181818181818
AR20807,Argent,Argent FOCUS 600 Bath Towel Rack - Chrome - AR20807,Accessories,Bathroom Accessories,Wall Mounted,Argent FOCUS,chrome,Chrome,600,,,,,,0.6333333333333333
AR73362,Argent,Argent FOCUS 600 Double Bath Towel Rack - Chrome - AR73362,Accessories,Bathroom Accessories,Wall Mounted,Focus,chrome,Chrome,600,,,,,,0.6333333333333333
AR20802,Argent,Argent FOCUS 600 Double Towel Rail - Chrome - AR20802,Accessories,Bathroom Accessories,Wall Mounted,FOCUS,chrome,Chrome,600,,,,,,0.6333333333333333
AR20801,Argent,Argent FOCUS 600 Towel Rail - Chrome - AR20801,Accessories,Bathroom Accessories,Towel Rail,FOCUS,chrome,Chrome,600,,,,1,,0.6230769230769229
AR20803,Argent,Argent FOCUS 800 Double Towel Rail - Chrome - AR20803,Accessories,Bathroom Accessories,Towel Rail,Architectura,chrome,Chrome,800,,,,,,0.6333333333333333
AR20814,Argent,Argent FOCUS 800 Towel Rail - Chrome - AR20814,Accessories,Bathroom Accessories,Towel Rail,FOCUS,chrome,Chrome,800,,,,,,0.6333333333333333
AR20847-P,Argent,Argent FOCUS Double Toilet Roll Holder - Chrome - AR20847-P,Accessories,Bathroom Accessories,Toilet Roll Holder,FOCUS,brass,Chrome,215,60,145,Wall Mounted,10,0.645,0.6818181818181818
AR20821,Argent,Argent FOCUS Liquid Soap Dispenser - Chrome w- White Ceramic Dispenser - AR20821,Accessories,Bathroom Accessories,Wall Mounted,Focus,"brass, ceramic","Chrome, White",100,100,185,wall mounted,1,0.6,0.6636363636363637
AR20844,Argent,Argent FOCUS Robe Hook - Chrome - AR20844,Accessories,Bathroom Accessories,Robe Hook,Focus,brass,chrome,,,,,,,0.6363636363636362
AR20815,Argent,Argent FOCUS Soap Dish - Chrome w- White Ceramic Dish - AR20815,Accessories,Bathroom Accessories,Wall Mounted,Focus,"ceramic, brass","Chrome, White",120,120,45,Wall Mounted,5,0.5,0.6545454545454545
AR20825,Argent,Argent FOCUS Toilet Brush Set - Chrome w- Glass Bowl - AR20825,Accessories,Bathroom Accessories,Countertop,Focus,"brass, glass",Chrome,160,160,370,Countertop,10,1.6,0.6727272727272727
AR20843,Argent,Argent FOCUS Toilet Roll Holder - Chrome - AR20843,Accessories,Bathroom Accessories,Wall Mounted,Argent FOCUS,brass,Chrome,145,53,120,wall mounted,,,0.6571428571428571
AR20811,Argent,Argent FOCUS Toothbrush - Tumbler Holder - Chrome w- Ceramic Tumbler - AR20811,Accessories,Bathroom Accessories,Wall Mounted,FOCUS,"ceramic, chrome",Chrome,80,100,110,Wall Mounted,5,0.5,0.6727272727272727
AR20838,Argent,Argent FOCUS Towel Ring - Chrome - AR20838,Accessories,Bathroom Accessories,Wall Mounted,Argent FOCUS,brass,Chrome,200,,60,,15,0.76,0.6777777777777777
F5230M,Argent,Argent Focus Pneumatic Comfort Round Flush Plate - Chrome - F5230M,Accessories,Bathroom Accessories,Flush Plate,Argent Focus,brass,Chrome,136,136,,wall mounted,5,0.75,0.6571428571428571
F5230MMB,Argent,Argent Focus Pneumatic Comfort Round Flush Plate - Matte Black - F5230MMB,Accessories,Bathroom Accessories,Flush Plate,Argent Focus,metal,Matte Black,200,200,,Wall Mounted,,,0.65
AR50903,Argent,Argent Grace 900 Smart LED Round Mirror - AR50903,Accessories,Bathroom Accessories,Wall Hung,Grace,glass,Chrome,900,,900,,,,0.6857142857142857
F5020BG,Argent,Argent Grace Round Mechanical Flush Plate - Brushed Gold - F5020BG,Accessories,Bathroom Accessories,Flush Plate,Grace,brass,Brushed Gold,200,200,,,5,0.5,0.6777777777777777
F5020BN,Argent,Argent Grace Round Mechanical Flush Plate - Brushed Nickel - F5020BN,Accessories,Bathroom Accessories,Flush Plate,Grace,brushed nickel,Brushed Nickel,155,,155,,,,0.6375
F5020,Argent,Argent Grace Round Mechanical Flush Plate - Chrome - F5020,Accessories,Bathroom Accessories,Flush Plate,Grace,brass,Chrome,200,200,,wall mounted,,,0.6538461538461537
F5020GM,Argent,Argent Grace Round Mechanical Flush Plate - Gun Metal - F5020GM,Accessories,Bathroom Accessories,Wall Mounted,Grace,metal,Gun Metal,200,200,,wall mounted,,,0.6153846153846152
F5020MW,Argent,Argent Grace Round Mechanical Flush Plate - Matte White - F5020MW,Accessories,Bathroom Accessories,Wall Mounted,Grace,abs,Matte White,160,160,160,,,,0.6875
HTS05X4,Argent,Argent Kubic 600 5 Bar Heated Towel Rail - Chrome - HTS05X4,Accessories,Bathroom Accessories,Heated Towel Rail,Kubic,stainless steel,Chrome,600,,760,wall mounted,10,10.6,0.6799999999999999
HTS05X4MB,Argent,Argent Kubic 600 5 Bar Heated Towel Rail - Matte Black - HTS05X4MB,Accessories,Bathroom Accessories,Wall Mounted,Kubic,stainless steel,Matte Black,600,,1200,Wall Mounted,10,18.5,0.6799999999999999
HTS0102,Argent,Argent Kubic 700 3 Single Bar Heated Towel Rail - Chrome - HTS0102,Accessories,Bathroom Accessories,Heated Towel Rail,Kubic,stainless steel,Chrome,700,,1132,,10,22.3,0.6777777777777777
IN38785,Argent,Argent Kubic In-Wall Mechanical Flush Plate - Chrome - IN38785,Accessories,Bathroom Accessories,Wall Hung,Kubic,brass,Chrome,210,,145,,,,0.6749999999999999
IN38785MB,Argent,Argent Kubic In-Wall Mechanical Flush Plate - Matte Black - IN38785MB,Accessories,Bathroom Accessories,Wall Mounted,Kubic,metal,Matte Black,240,,150,,,,0.6375
IN38785WH,Argent,Argent Kubic In-Wall Mechanical Flush Plate - White - IN38785WH,Accessories,Bathroom Accessories,In-Wall,Kubic,plastic,White,200,,150,wall mounted,7,1.2,0.65
IN38785BN,Argent,Argent Kubic Mechanical Flush Plate - Brushed Nickel - IN38785BN,Accessories,Bathroom Accessories,Wall Mounted,Kubic,metal,Brushed Nickel,160,,160,wall mounted,10,1.05,0.65
AR9998WL,Argent,Argent LED Wall Mounted Magnifying Mirror Chrome - AR9998WL,Accessories,Bathroom Accessories,Wall Mounted,Argent,chrome,Chrome,450,,650,Wall Mounted,2,5.4,0.6357142857142856
AR21805,Argent,Argent Line 300 Hand Towel Rail Chrome - AR21805,Accessories,Bathroom Accessories,Wall Mounted,Argent Line,chrome,chrome,300,,,,,,0.6285714285714284
AR21802,Argent,Argent Line 600 Double Towel Rail Chrome - AR21802,Accessories,Bathroom Accessories,Wall Mounted,Avia 2.0,chrome,Chrome,600,,,,,,0.6333333333333333
AR21801,Argent,Argent Line 600 Towel Rail Chrome - AR21801,Accessories,Bathroom Accessories,Wall Mounted,Argent Line,chrome,Chrome,600,,,,,,0.6333333333333333
AR21803,Argent,Argent Line 800 Double Towel Rail Chrome - AR21803,Accessories,Bathroom Accessories,Towel Rail,Argent Line,chrome,,800,,,,,,0.6
AR21814,Argent,Argent Line 800 Towel Rail Chrome - AR21814,Accessories,Bathroom Accessories,Wall Mounted,Argent Line,stainless steel,Chrome,800,60,,Wall Mounted,,,0.6875
AR21844,Argent,Argent Line Robe Hook Chrome - AR21844,Accessories,Bathroom Accessories,Robe Hook,Argent Line,chrome,Chrome,62,42,60,,10,0.36,0.6399999999999999
AR21815,Argent,Argent Line Soap Dish Chrome - AR21815,Accessories,Bathroom Accessories,Countertop,Argent Line,brass,Chrome,105,135,33,Countertop,,0.5,0.67
AR21843,Argent,Argent Line Toilet Roll Holder Chrome - AR21843,Accessories,Bathroom Accessories,Wall Mounted,Argent Line,brass,Chrome,187,80,65,,15,0.5,0.6799999999999999
AR21838,Argent,Argent Line Towel Ring Chrome - AR21838,Accessories,Bathroom Accessories,Wall Mounted,Argent Line,brass,Chrome,280,89,60,Wall Mounted,10,1.15,0.6818181818181818
10064,Argent,Argent Meno 600 Rectangular Mirror with Frosted Border - 10064,Accessories,Bathroom Accessories,Wall Mounted,Meno,glass,Frosted,600,,800,,,,0.6571428571428571
AR51405,Argent,Argent Mondrian 1400 Smart LED Mirror with Bluetooth Speakers - AR51405,Accessories,Bathroom Accessories,Wall Hung,Mondrian,"glass, metal",Chrome,1400,,700,wall mounted,5,35.0,0.67
AR50900,Argent,Argent Mondrian 900 Smart LED Mirror - AR50900,Accessories,Bathroom Accessories,Wall Mounted,Mondrian,glass,Silver,900,,650,wall mounted,5,26.0,0.6799999999999999
AR50905,Argent,Argent Mondrian 900 Smart LED Mirror with Bluetooth Speakers - AR50905,Accessories,Bathroom Accessories,Wall Hung,Mondrian,"mirror, brass",chrome,900,,700,wall mounted,5,22.5,0.67
AR93612BN,Argent,Argent Mondrian Neu 300 Hand Towel Rail - Brushed Nickel - AR93612BN,Accessories,Bathroom Accessories,Hand Towel Rail,Argent Mondrian Neu,brushed nickel,Brushed Nickel,300,,,,1,,0.6428571428571429
AR93612,Argent,Argent Mondrian Neu 300 Hand Towel Rail - Chrome - AR93612,Accessories,Bathroom Accessories,Wall Mounted,Mondrian Neu,stainless steel,Chrome,300,,,,,,0.6714285714285714
AR93611DBN,Argent,Argent Mondrian Neu 300 Shower Shelf - Brushed Nickel - AR93611DBN,Accessories,Bathroom Accessories,Shower Shelf,Mondrian Neu,stainless steel,Brushed Nickel,300,,,wall mounted,,,0.6499999999999998
AR93611D,Argent,Argent Mondrian Neu 300 Shower Shelf - Chrome - AR93611D,Accessories,Bathroom Accessories,Wall Mounted,Mondrian Neu,stainless steel,Chrome,300,,,wall mounted,,,0.6499999999999998
AR93687,Argent,Argent Mondrian Neu 500 Glass Shelf Chrome - AR93687,Accessories,Bathroom Accessories,Wall Hung,Mondrian Neu,glass,Chrome,300,120,,,,,0.6749999999999999
AR93624DBN,Argent,Argent Mondrian Neu 600 Double Towel Rail - Brushed Nickel - AR93624DBN,Accessories,Bathroom Accessories,Double Towel Rail,Mondrian Neu,stainless steel,Brushed Nickel,600,,,wall mounted,5,1.5,0.6777777777777777
AR93624D,Argent,Argent Mondrian Neu 600 Double Towel Rail - Chrome - AR93624D,Accessories,Bathroom Accessories,Double Towel Rail,Mondrian Neu,chrome,Chrome,600,,,,,,0.6333333333333333
AR93624BN,Argent,Argent Mondrian Neu 600 Towel Rail - Brushed Nickel - AR93624BN,Accessories,Bathroom Accessories,Wall Mounted,Architectura,stainless steel,Brushed Nickel,600,,,wall mounted,10,6.7,0.6538461538461537
AR93624,Argent,Argent Mondrian Neu 600 Towel Rail - Chrome - AR93624,Accessories,Bathroom Accessories,Wall Mounted,Mondrian Neu,stainless steel,Chrome,600,,,,5,3.5,0.6749999999999999
AR93632DBN,Argent,Argent Mondrian Neu 800 Double Towel Rail - Brushed Nickel - AR93632DBN,Accessories,Bathroom Accessories,Wall Mounted,Architectura,stainless steel,Brushed Nickel,800,,,,2,,0.6857142857142857
AR93632D,Argent,Argent Mondrian Neu 800 Double Towel Rail - Chrome - AR93632D,Accessories,Bathroom Accessories,Double Towel Rail,Mondrian Neu,chrome,Chrome,800,,,,5,2.5,0.6375
AR93632BN,Argent,Argent Mondrian Neu 800 Towel Rail - Brushed Nickel - AR93632BN,Accessories,Bathroom Accessories,Wall Mounted,Architectura,brass,Brushed Nickel,800,,,,,,0.6416666666666665
AR93632,Argent,Argent Mondrian Neu 800 Towel Rail - Chrome - AR93632,Accessories,Bathroom Accessories,Towel Rail,Mondrian Neu,chrome,Chrome,800,,,,,,0.6333333333333333
AR93682D,Argent,Argent Mondrian Neu Double Robe Hook - Chrome - AR93682D,Accessories,Bathroom Accessories,Wall Mounted,Mondrian Neu,chrome,Chrome,104,88,65,,10,0.55,0.65
AR93682BN,Argent,Argent Mondrian Neu Robe Hook - Brushed Nickel - AR93682BN,Accessories,Bathroom Accessories,Wall Mounted,Mondrian Neu,brass,Brushed Nickel,52,77,57,Wall Mounted,10,0.2,0.6818181818181818
AR93682,Argent,Argent Mondrian Neu Robe Hook - Chrome - AR93682,Accessories,Bathroom Accessories,Robe Hook,Mondrian Neu,brass,Chrome,52,52,70,Wall Mounted,10,0.3,0.6818181818181818
AR93611E,Argent,Argent Mondrian Neu Soap Dish Chrome - AR93611E,Accessories,Bathroom Accessories,Countertop,Mondrian Neu,stainless steel,Chrome,120,120,45,,7,0.35,0.67
AR93686S,Argent,Argent Mondrian Neu Spare Toilet Roll Holder - Chrome - AR93686S,Accessories,Bathroom Accessories,Wall Mounted,Argent Mondrian Neu,brass,Chrome,133,50,80,wall mounted,,,0.6571428571428571
AR93686LBN,Argent,Argent Mondrian Neu Toilet Roll Holder - Left Hand Faced - Brushed Nickel - AR93686LBN,Accessories,Bathroom Accessories,Wall Mounted,Mondrian Neu,brass,Brushed Nickel,120,100,80,Wall Mounted,5,0.45,0.6818181818181818
AR93686L,Argent,Argent Mondrian Neu Toilet Roll Holder - Left Hand Faced - Chrome - AR93686L,Accessories,Bathroom Accessories,Wall Mounted,Mondrian Neu,brass,Chrome,120,90,70,Wall Mounted,10,0.8,0.6818181818181818
AR93686RBN,Argent,Argent Mondrian Neu Toilet Roll Holder - Right Hand Faced - Brushed Nickel - AR93686RBN,Accessories,Bathroom Accessories,Toilet Roll Holder,Mondrian Neu,brushed nickel,Brushed Nickel,,,,,,,0.6090909090909089
AR93686R,Argent,Argent Mondrian Neu Toilet Roll Holder - Right Hand Faced - Chrome - AR93686R,Accessories,Bathroom Accessories,Wall Mounted,Mondrian Neu,chrome,Chrome,100,,150,,,,0.6428571428571429
AR93680,Argent,Argent Mondrian Neu Towel Ring Chrome - AR93680,Accessories,Bathroom Accessories,Towel Ring,Mondrian Neu,brass,Chrome,185,65,60,Wall Mounted,25,1.3,0.6818181818181818
SE04-01,Argent,Argent PWD Shower Seat 960 x 400 - SE04-01,Accessories,Bathroom Accessories,Wall Mounted,Argent PWD,stainless steel,,960,400,,,,,0.6666666666666666
HTR05X4MB,Argent,Argent Pace 600 5 Bar Heated Towel Rail - Matte Black - HTR05X4MB,Accessories,Bathroom Accessories,Heated Towel Rail,Pace,stainless steel,Matte Black,600,,800,wall mounted,5,10.0,0.6799999999999999
HTR05X4,Argent,Argent Pace 600 5 Bar Heated Towel Rail - Polished Stainless Steel - HTR05X4,Accessories,Bathroom Accessories,Towel Rail,Pace,stainless steel,Polished,600,,1210,wall mounted,10,18.7,0.6799999999999999
HTR08X4,Argent,Argent Pace 600 8 Bar Heated Towel Rail - HTR08X4,Accessories,Bathroom Accessories,Heated Towel Rail,Pace,stainless steel,Chrome,600,50,780,,5,13.0,0.6799999999999999
32560PBR,Argent,Argent Padded Back Rest with Dark Grey Cushion - 32560PBR,Accessories,Bathroom Accessories,Wall Mounted,Argent,stainless steel,"Chrome, Brushed Nickel, Matte Black",250,200,100,Wall Mounted,5,1.5,0.6727272727272727
500339,Armando Vicario,Armando Vicario Lever Top Assemblies - Chrome - 500339,Accessories,Bathroom Accessories,Towel Rail,Provincial,,Chrome,,,,,5,,0.6599999999999999
900161,Armando Vicario,Armando Vicario Piazza 450 Towel Rail - Chrome - 900161,Accessories,Bathroom Accessories,Towel Rail,Piazza,brass,Chrome,450,,900,,,,0.6857142857142857
900162,Armando Vicario,Armando Vicario Piazza 600 Towel Rail - Chrome - 900162,Accessories,Bathroom Accessories,Towel Rail,Piazza,stainless steel,Chrome,600,,800,,10,5.5,0.6777777777777777
900158,Armando Vicario,Armando Vicario Piazza Robe Hook - Chrome - 900158,Accessories,Bathroom Accessories,Wall Mounted,Piazza,chrome,Chrome,100,60,60,,,,0.65
900164,Armando Vicario,Armando Vicario Piazza Soap Dish - Chrome - 900164,Accessories,Bathroom Accessories,Wall Hung,Piazza,stainless steel,Chrome,150,85,40,,10,0.36,0.67
900159,Armando Vicario,Armando Vicario Piazza Toilet Roll Holder - Chrome - 900159,Accessories,Bathroom Accessories,,Piazza,brass,Chrome,100,100,60,,10,0.35,0.6799999999999999
900163,Armando Vicario,Armando Vicario Piazza Towel Ring - Chrome - 900163,Accessories,Bathroom Accessories,Wall Mounted,Piazza,brass,Chrome,72,81,105,Wall Mounted,10,1.01,0.6818181818181818
900050BN,Armando Vicario,Armando Vicario Provincial 450mm Towel Rail - Brushed Nickel - 900050BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.404
900050,Armando Vicario,Armando Vicario Provincial 450mm Towel Rail Chrome - 900050,Accessories,Bathroom Accessories,Towel Rail,Provincial,,Chrome,450,,,,,,0.65
900051,Armando Vicario,Armando Vicario Provincial 600mm Towel Rail - 900051,Accessories,Bathroom Accessories,Wall Mounted,Provincial,stainless steel,Chrome,600,,900,,,,0.6857142857142857
900051BR,Armando Vicario,Armando Vicario Provincial 600mm Towel Rail - Bronze - 900051BR,Accessories,Bathroom Accessories,,,,,,,,,,,0.528
900055,Armando Vicario,Armando Vicario Provincial Robe Hook - Chrome - 900055,Accessories,Bathroom Accessories,,Provincial,chrome,Chrome,,,,,,,0.6199999999999999
900055BR,Armando Vicario,Armando Vicario Provincial Robe Hook – Bronze - 900055BR,Accessories,Bathroom Accessories,,,,,,,,,,,0.605
900053,Armando Vicario,Armando Vicario Provincial Soap Dish - Chrome - 900053,Accessories,Bathroom Accessories,Wall Mounted,Provincial,chrome,Chrome,150,97,42,wall mounted,,,0.6285714285714284
900053BN,Armando Vicario,Armando Vicario Provincial Soap Dish – Brushed Nickel - 900053BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.8
900048,Armando Vicario,Armando Vicario Provincial Toilet Roll Holder - Chrome - 900048,Accessories,Bathroom Accessories,Wall Mounted,Provincial,chrome,Chrome,,,,Wall Mounted,,,0.6333333333333333
900048BN,Armando Vicario,Armando Vicario Provincial Toilet Roll Holder – Brushed Nickel - 900048BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.412
900052,Armando Vicario,Armando Vicario Provincial Towel Ring - Chrome - 900052,Accessories,Bathroom Accessories,Wall Mounted,Provincial,brass,Chrome,170,,92,Wall Mounted,10,0.7,0.6799999999999999
900052BR,Armando Vicario,Armando Vicario Provincial Towel Ring – Bronze - 900052BR,Accessories,Bathroom Accessories,,,,,,,,,,,0.614
900052BN,Armando Vicario,Armando Vicario Provincial Towel Ring – Brushed Nickel - 900052BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.588
TLH2-130x48-LV_BS,Avenir,Avenir Abask 24V Heated Towel Ladder 130 x 48 - Brushed Stainless Steel - TLH2-130x48-LV_BS,Accessories,Bathroom Accessories,Towel Ladder,Abask,stainless steel,,1300,100,428,Concealed connection only (any leg) - No in-wall kit required,10,,0.6428571428571427
